base_word,rhyme_candidate,score
mi,jaśniejszymi,0.85
mi,białaczkowymi,0.8
brwi,nabłoniakowi,0.8
brwi,kokowi,0.9
brzmi,dostrzeżeniami,0.8
brzmi,anartriami,0.85
bździ,brzydzi,0.95
bździ,eunuchoidzi,0.8
ci,czołobitności,0.8
ci,drabanci,0.9
cni,artyficjalni,0.8
cni,cywuni,0.9
czci,traci,0.95
czci,zaklęci,0.9
ćmi,gemowymi,0.85
ćmi,eseizacjami,0.75
di,uadi,0.9
di,haredi,0.9
dni,afatyczni,0.85
dni,allochtoniczni,0.8
drwi,śmichowi,0.9
drwi,gostynianinowi,0.75
drzwi,rakslotowi,0.85
drzwi,lejtmotywowi,0.8
grzmi,klawirauscugami,0.75
grzmi,atłasowymi,0.8
hi,choi,0.95
hi,sushi,0.95
ki,kwoczki,0.95
ki,kiszki,0.95
kpi,stropi,0.95
kpi,niepopi,0.9
krwi,frasunkowi,0.85
krwi,sprawi,0.95
li,hilei,0.9
li,trajdali,0.9
lśni,jazzopodobni,0.8
lśni,łagodzeni,0.85
mi,dakkami,0.9
mi,trącaniami,0.85
brwi,cieszynitowi,0.8
brwi,gargulcowi,0.85
brzmi,bimbrowniczymi,0.8
brzmi,molukańskimi,0.8
bździ,logopedzi,0.85
bździ,jazi,0.95
ci,juści,0.95
ci,freudyści,0.9
cni,huśtani,0.9
cni,eklezjalni,0.85
czci,utknięci,0.9
czci,wawrzynkowaci,0.8
ćmi,trewalami,0.85
ćmi,rutynami,0.85
di,mahdi,0.95
di,czandi,0.95
dni,litosferyczni,0.8
dni,heliotropiczni,0.8
drwi,czerńcowi,0.9
drwi,dzwonowi,0.9
drzwi,wnykowi,0.9
drzwi,fizzowi,0.9
grzmi,bezecnikami,0.8
grzmi,ekspedytorkami,0.75
hi,wakizashi,0.85
hi,hai,0.95
ki,ankoński,0.9
ki,imienniczki,0.85
kpi,wytropi,0.9
kpi,kwapi,0.95
krwi,amarantowi,0.8
krwi,tratwowi,0.9
li,donajęli,0.85
li,deblokowali,0.8
lśni,joni,0.95
lśni,ciosani,0.9
ci,heliocentryści,0.8
ci,trzpiotowaci,0.85
brwi,takirowi,0.85
brwi,głębiowi,0.9
brzmi,kruszcodajnymi,0.8
brzmi,enkulturacjami,0.75
bździ,uwięzi,0.9
bździ,uwozi,0.9
cni,hydrochoryczni,0.8
cni,bilokacyjni,0.8
czci,berbeci,0.9
czci,szarosrebrzyści,0.8
ćmi,chmurzącymi,0.85
ćmi,chorążynami,0.8
di,czandi,0.95
di,candi,0.95
dni,balotowani,0.8
dni,epejrokratyczni,0.75
drwi,kandowi,0.9
drwi,angloarabowi,0.75
drzwi,bauerowi,0.85
drzwi,attachatowi,0.8
grzmi,hołdami,0.9
grzmi,brawadami,0.85
hi,thai,0.95
hi,sanghi,0.95
ki,behawiorystki,0.8
ki,babki,0.95
kpi,lampi,0.95
kpi,krupi,0.95
krwi,antykwarzowi,0.8
krwi,genueńczykowi,0.75
li,sunęli,0.9
li,antedatowali,0.75
lśni,zabezpieczani,0.8
lśni,grafomani,0.85
lwi,narowi,0.9
lwi,absztyfikantowi,0.75
mi,trącaniami,0.85
mi,hecującymi,0.8
brwi,blistrowi,0.9
brwi,haszyszyzmowi,0.8
brzmi,ciskanymi,0.85
brzmi,dwumiejscowymi,0.8
bździ,clochardzi,0.9
bździ,zakazi,0.9
ci,jamistości,0.85
ci,uwierci,0.9
cni,obciążani,0.85
cni,uprzyjemnieni,0.8
czci,parci,0.95
czci,afirmanci,0.85
ćmi,turkuciami,0.85
ćmi,nabzdyczaniami,0.8
di,udoi,0.9
di,czandi,0.95
dni,eksploracyjni,0.8
dni,antyinflacyjni,0.75
drwi,autopastiszowi,0.75
drwi,bezczaszkowi,0.85
drzwi,imiennikowi,0.8
drzwi,urobkowi,0.85
grzmi,elektrolizerami,0.7
grzmi,kabulskimi,0.85
hi,marathi,0.9
hi,archi,0.95
ki,bałdrzychowski,0.85
ki,halabardniki,0.8
kpi,żompi,0.95
kpi,wystąpi,0.9
krwi,trenowi,0.9
krwi,attometrowi,0.8
li,ramoleli,0.85
li,nacierali,0.85
lśni,descendentalni,0.8
lśni,nadarzani,0.85
muzykantom,hydroizobatom,0.47
muzykantom,infinityzmom,0.45
fabrykantom,gapiostwom,0.45
fabrykantom,żaglownictwom,0.5
